;;Clef;Nom;Finalité immédiate;Schème;Détail des actions réalisées -sert à définir les DEME qui interviennent;deme_clic_simple;deme_clic_objet;deme_double_clic;deme_clic_maintenu;deme_depl_libre;deme_depl_pointeur_point;deme_perc_metrique;deme_perc_euclidienne;deme_perc_forme;;
Mesure (par longueur);18;op_mes_long;Mesure (par longueur);Déterminer une longueur;Avec longueur, s'approcher de l'objet à mesurer, l'obejt se met en surbrillance et la longueur s'affiche. Cliquer sur l'objet si on souhaite placer la mesure sur l'espace de travail;Déplacement sur longueur I6 , clic pour le selectionner I 2, déplacement sur l'objet à mesure I6, clic sur objet pour afficher la mesure I2;;2;;;0;2;;;;;
Mesure (par décimètre);19;op_mes_dec;Mesure (par décimètre);Déterminer une longueur;Avec décimètre, placer le décimètre sur un première repère, déplacer vers un deuxième repère , la mesure entre les deux repères s'affiche;Déplacement sur la flèche de la pile I6, clic pour ouvrir I2, déplacement sur décimètre I6 , clic pour le selectionner I 2, déplacement sur un point précis I6 (début de la prise de mesure) I6, Clic I2, déplacement sur l'autre point I6, clic I2 ;0;4;;;0;4;;;;;
Mesure angle (par angle);20;op_mes_ang_ang;Mesure angle (par angle);Mesure l’ouverture d’un angle;Avec angle, mesures l’ouverture d’un angle;Déplacement sur la flèche de la pile I6, clic pour ouvrir I2, déplacement sur angle I6 , clic pour le selectionner I 2, 3 répetitions de déplacement I6 sur un point précis de l'angle et Clic I2, ;0;5;;;;5;;;;;
Mesure angle (par rapporteur);21;op_mes_ang_rap;Mesure angle (par rapporteur);Mesure de l’ouverture d’un angle;Avec rapporteur, mesure l’ouverture d’un angle;Déplacement sur la flèche de la pile I6, clic pour ouvrir I2, déplacement sur rapporteur I6 , clic pour le selectionner I 2, 3 répetitions de déplacement I6 sur un point précis de l'angle et Clic I2, ;;5;;;;5;;;;;
Mesure angle (par équerre);22;op_mes_ang_equ;Mesure angle (par équerre);Mesure de l'angle droit par utilisation de l'équerre, mesure impossible au mieux l'équerre peut servir de gabarit d'angle droit pour une vérification par superposition,;Avec l'équerre, contrôler l'angle droit ;placement pointeur sur flèche I6, clic pour ouvrir I2 déplacement sur équerre I6 clic pour sélectionner I2  déplacement sur l'angle I6 : échec;;2;;;;3;;;;;
Segment;23;op_sgt-pt_const_pt_vol_out_seg;placer un segment sur un point construit et un point à la volée avec outil segment;Construire un segment qui passe par un point donné;Avec segment, construire un segment quelconque, en cliquant sur un point construit et un point à la volée;Déplacement sur pile I6 ouverture de la fèche I2 déplacement sur segment I6 clic sur segment I2 Déplacement sur point précis I6 clic I2 déplacement libre I5 clic I2 ;;4;;0;1;3;;;;;
Segment;24;op_sgt-pts_const_out_seg;placer un segment sur deux points construits avec outil segment;Construire un segment qui passe par deux points donnés;Avec segment, construire un segment quelconque, en cliquant sur deux points construits;Déplacement sur pile I6 ouverture de la fèche I2 déplacement sur segment I6 clic sur segment I2 Déplacement sur point précis I6 clic I2 déplacement sur point précis I6 clic I2 ;;4;;;;4;;;;;
Segment;25;op_sgt-pts_alig_out_seg;placer un segment sur deux points construits avec outil segment;Contrôler l'alignement d'un segment passant par deux points;Avec segment, contrôler l'alignement entre deux points du segment, les deux segments se superposent;Déplacement sur pile I6 ouverture de la fèche I2 déplacement sur segment I6 clic sur segment I2 Déplacement sur point précis I6 clic I2 déplacement sur point précis I6 clic I2 ;0;4;;;0;4;;;;;
Segment;26;op_sgt-pts_vol_out_seg;placer un segment sur deux points à la volée avec outil segment;Construire un segment à la volée;Avec segment, construire un segment quelconque en plaçant les deux points extrémités du segment à la volée;Déplacement sur pile I6 ouverture de la fèche I2 déplacement sur segment I6 clic sur segment I2 Déplacement libre I5 clic I2 déplacement libre I5 clic I2 ;0;4;;;2;2;;;;;
Décimètre;27;op_seg_dec;Segment (par décimètre);Construire un segment d'une longueur donnée;Avec décimètre, construire un segment définir sa longueur par ajustement instrumental (cliquer quand la mesure voulue est affichée);Déplacement sur la flèche de la pile I6, clic pour ouvrir I2, déplacement sur décimètre I6 , clic pour le selectionner I 2, déplacement sur un point libre I5 (début du segment), Clic I2, déplacement sur l'autre point I6, -besoin de contrôler la mesure affichée par l'outil- clic I2 ;;4;;0;1;3;;;;;
Décimètre;28;op_sgt-pt_const_pt_vol_out_dec;placer un segment sur un point construit et un point à la volée avec outil décimètre;Construire un segment qui passe par un point donné;Avec décimètre, construire un segment quelconque, en cliquant sur un point construit et un point à la volée;Déplacement sur pile I6 ouverture de la fèche I2 déplacement sur décimètre I6 clic sur décimètre I2 Déplacement sur point précis I6 clic I2 déplacement libre I5 clic I2 ;;4;;0;1;3;;;;;
Décimètre;29;op_sgt-pts_const_out_dec;placer un segment sur deux points construits avec outil décimètre;Construire un segment qui passe par deux points donnés;Avec décimètre, construire un segment quelconque, en cliquant sur deux points construits;Déplacement sur pile I6 ouverture de la fèche I2 déplacement sur décimètre I6 clic sur décimètre I2 Déplacement sur point précis I6 clic I2 déplacement sur un point précis I6 clic I2 ;;4;;;0;4;;;;;
Décimètre;30;op_sgt-pts_vol_out_dec;placer un segment sur deux points à la volée avec outil décimètre;Construire un segment à la volée;Avec décimètre, construire un segment quelconque en plaçant les deux points extrémités du segment à la volée;Déplacement sur pile I6 ouverture de la fèche I2 déplacement sur décimètre I6 clic sur décimètre I2 Déplacement sur point libre I5 clic I2 déplacement libre I5 clic I2 ;;4;;;2;2;;;;;
Demi-droite;31;op_dte_pt_const_pt_vol_out_demidte;placer une droite sur un point construit et un point à la volée avec outil demi droite;Construire un segment qui passe par un point donné;Avec demi droite, construire un segment quelconque, en cliquant sur un point construit et un point à la volée, Visuellement ça ne donne pas un segment, schème d'usage peu probable chez les élèves,;Déplacement sur pile I6 ouverture de la flèche I2 déplacement sur demi-droite I6 clic  pour selectionner I2 Déplacement sur point précis I6 clic I2 déplacement libre I5 clic I2 ;0;4;;0;1;3;;;;;
Demi-droite;32;op_dte_pts_const_out_demidte;placer une droite sur deux points construits avec outil demi droite;Construire un segment qui passe par deux points donnés;Avec demi droite, construire un segment quelconque, en cliquant sur deux points construits;Déplacement sur pile I6 ouverture de la flèche I2 déplacement sur demi droite I6 clic  pour selectionner I2 Déplacement sur point précis I6 clic I2 déplacement sur un point précis I6 clic I2 ;;4;;;;4;;;;;
Demi-droite;33;op_dte_pts_vol_out_demidte;placer une droite sur deux points à la volée avec outil demi droite;Construire un segment à la volée;Avec demi droite, construire un segment quelconque en plaçant les deux points extrémités du segment à la volée;Déplacement sur pile I6 ouverture de la flèche I2 déplacement sur demi droite I6 clic  pour selectionner I2 Déplacement sur point libre I5 clic I2 déplacement sur un point libre I5 clic I2 ;;4;;;2;2;;;;;
Droite;34;op_dte_pt_const_pt_vol_out_dte;placer une droite sur un point construit et un point à la volée avec outil droite;Construire un segment qui passe par un point donné;Avec droite, construire un segment quelconque, en cliquant sur un point construit et un point à la volée;Déplacement sur pile I6 ouverture de la fèche I2 déplacement sur droite I6 clic sur droiteI2 Déplacement sur point précis I6 clic I2 déplacement libre I5 clic I2 ;;4;;0;1;3;;;;;
Droite;35;op_dte_pts_const_out_dte;placer une droite sur deux points construits avec outil droite;Construire un segment qui passe par deux points donnés;Avec droite, construire un segment quelconque, en cliquant sur deux points construits;Déplacement sur pile I6 ouverture de la fèche I2 déplacement sur droite I6 clic sur droiteI2 Déplacement sur point précis I6 clic I2 déplacement précis I6  clic I2 ;0;4;;;0;4;;;;;
Droite;36;op_dte_pts_vol_out_dte;placer une droite sur deux points à la volée avec outil droite;Construire un segment à la volée;Avec droite, construire un segment quelconque en plaçant les deux points extrémités du segment à la volée;Déplacement sur pile I6 ouverture de la fèche I2 déplacement sur droite I6 clic sur droiteI2 Déplacement sur point libre I5 clic I2 déplacement libre I5 clic I2 ;0;4;;0;2;2;;;;;
Perpendiculaire;37;op_perp;Perpendiculaire;Construire une droite perpendiculaire;Avec perpendiculaire, sélectionner une droite et un point à la volée qui donne la bonne forme;placement pointeur sur flèche pour ouvrir la pile I6, clic pour ouvrir I2, déplacement sur Perpendiculaire I6, clic pour sélectionner l'outil I2, viser le segment ou la  droite, se placer dessus I6, cliquer quand il est en surbrillance I2, déplacer la souris vers un point qui n’est pas A I6 -aligné avec A- I10, cliquer sur le point I2;;4;;;;4;;1;;;
Perpendiculaire;38;op_perp_pt;Perpendiculaire par un point donné;Construire une droite perpendiculaire par un point donné qui résiste au déplacement;Avec perpendiculaire sélectionner la droite et le point définissant cet angle;placement pointeur sur flèche pour ouvrir la pile I6, clic pour ouvrir I2, déplacement sur Perpendiculaire I6, clic pour sélectionner l'outil I2, viser le segment ou la  droite I6, se placer dessus , cliquer quand il est en surbrillance I2, déplacer la souris vers le point A I6, cliquer sur le point I2.;;4;;;;4;;;;;
Droite;39;op_perp_dte;Perpendiculaire (par droite);Construire une perpendiculaire avec une droite;Avec droite,  sélectionner une droite et un point à la volée qui donne la bonne forme;placement pointeur sur flèche pour ouvrir la pile I6, clic pour ouvrir I2, déplacement sur droite I6, clic pour sélectionner l'outil droite I2, place la droite vers un endroit  quelconque dans l'espace I5 pose la droite par un clic pour placer un point I1, ajustement visuel I10 pour former l'angle droit, déplace le pointeur I5 clic I1;2;2;;;2;2;;1;;;
Segment;40;op_perp_demi_dte;Perpendiculaire (par demi droite);Construire une perpendiculaire avec une demi droite;Avec demi-droite,  sélectionner une droite et un point à la volée qui donne la bonne perpendiculaire;placement pointeur sur flèche pour ouvrir la pile I6, clic pour ouvrir I2, déplacement sur demi-droite I6, clic pour sélectionner l'outil droite I2, place la droite vers un endroit  quelconque dans l'espace I5 pose la droite par un clic pour placer un point I1, ajustement visuel I10 pour former l'angle droit, déplace le pointeur I5 clic I1;2;2;;;2;2;;1;;;
Segment;41;op_perp_sgt_pt_dte;Perpendiculaire  point droite (par segment);Construire une perpendiculaire avec un segment du point à la droite;Avec segment,  sélectionner  un point précis puis une droite donnée pour former une perpendiculaire à la volée;Déplacement sur pile I6 ouverture de la fèche I2 déplacement sur segment I6 clic sur segment I2 Déplacement sur le point I6, clic sur point I2, dépacement vers la droite I6 ajustement visuel I10 clic I2;;4;;;;4;;1;;;
Segment;42;op_perp_sgt_dte_pt;Perpendiculaire droite point (par segment);Construire une perpendiculaire avec un segment de la droite au point donné;Avec segment,  sélectionner  une droite donnée puis un point pour former une perpendiculaire à la volée;Déplacement sur pile I6 ouverture de la fèche I2 déplacement sur segment I6 clic sur segment I2 Déplacement sur la droite I6, clic sur la droite I2, dépacement vers un point I6 ajustement visuel I10 clic I2;;4;;;;4;;1;;;
Segment;43;op_perp_sgt_pt_lib;Perpendiculaire points à la volée (par segment);Construire une perpendiculaire avec un segment entre 2 points placés à la volée, un sur la droit et un en dehors;Avec segment,  sélectionner  deux points à la volée une perpendiculaire à la volée;Déplacement sur pile I6 ouverture de la fèche I2 déplacement sur segment I6 clic sur segment I2 Déplacement sur un point quelconque de la droite I6, clic I2, dépacement vers un point placé au jugé  I5 par ajustement visuel I10 clic I1;;4;;;1;3;;1;;;
Equerre;44;op_perp_equer_dte_pt_libre;Perpendiculaire (par équerre) droite vers point libre;Construire une perpendiculaire avec une équerre;Avec équerre, s'approcher de la droite, cliquer quand la droite est en surbrillance, cliquer sur la droite, déplacer la souris sur le point, cliquer;placement pointeur sur flèche pour ouvrir la pile I6, clic pour ouvrir I2, déplacement sur équerre I6, clic pour sélectionner l'outil équerre I2, place l'équerre le long de la droite I6 clic quand en surbrillance I2 déplaceer équerre vers le point I6 clic quand la perpendicaulaire qui s'affiche est alignée I10 avec le point I1;1;3;;;;4;;1;;;
Equerre;45;op_perp_equer_dte_pt_fixe;Perpendiculaire (par équerre) droite vers point fixe;Construire une perpendiculaire avec une équerre;Avec équerre, s'approcher de la droite, cliquer quand la droite est en surbrillance, cliquer sur la droite, déplacer la souris sur le point, cliquer;placement pointeur sur flèche pour ouvrir la pile I6, clic pour ouvrir I2, déplacement sur équerre I6, clic pour sélectionner l'outil équerre I2, place l'équerre, déplace vers la droite I6 clique sur la droite I2 déplace sur point précis I6 clic I2;;4;;;0;4;;;;;
Angle;46;op_angle;Angle (par angle);Construire un angle;placer trois points librement espacés;Placement pointeur sur flèche pour ouvrir la pile I6, clic pour ouvrir I2, déplacement sur angle I6, sélection angle I2, déplacement sur feuille de travail pour placer un point libre I5, le placer I1, déplacement n°2 I5 et placement I1, déplacement I5 n° 3 et clic I1;3;2;;;3;2;;;;;
