,,clef,Nom,Finalité immédiate,Schème,détail,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11
Décimètre,25,op_seg_dec,Segment (par décimètre),Construire un segment d'une longueur donnée,"Avec décimètre, construire un segment définir sa longueur par ajustement visuel",I8 I4 I1 I5 I1,2,,,1,1,,,1,,,
,26,op_sgt-pt_const_pt_vol_out_dec,placer un segment sur un point construit et un point à la volée avec outil décimètre,Construire un segment qui passe par un point donné,"Avec décimètre, construire un segment quelconque, en cliquant sur un point construit et un point à la volée",I8 I5 I1 I4 I1,2,,,1,1,,,1,,,
,27,op_sgt-pts_const_out_dec,placer un segment sur deux points construits avec outil décimètre,Construire un segment qui passe par deux points donnés,"Avec décimètre, construire un segment quelconque, en cliquant sur deux points construits",I8 I5 I1 I5 I1,2,,,,2,,,1,,,
,28,op_sgt-pts_vol_out_dec,placer un segment sur deux points à la volée avec outil décimètre,Construire un segment à la volée,"Avec décimètre, construire un segment quelconque en plaçant les deux points extrémités du segment à la volée",I8 I4 I1 I4 I1 ,2,,,2,,,,1,,,
Demi-droite,29,op_seg_ demi_dte,Segment (par demi-droite),Construire un segment,"Avec demi-droite, placer un point, déplacer et cliquer. Visuellement ça ne donne pas un segment, schème d'usage peu probable chez les élèves,",I8 I4 I1 I4 I1,2,,,2,,,,1,,,
,30,op_dte_pt_const_pt_vol_out_demidte,placer une droite sur un point construit et un point à la volée avec outil demi droite,Construire un segment qui passe par un point donné,"Avec demi droite, construire un segment quelconque, en cliquant sur un point construit et un point à la volée",I8 I5 I1 I4 I1,2,,,1,1,,,1,,,
,31,op_dte_pts_const_out_demidte,placer une droite sur deux points construits avec outil demi droite,Construire un segment qui passe par deux points donnés,"Avec demi droite, construire un segment quelconque, en cliquant sur deux points construits",I8 I5 I1 I5 I1,2,,,,2,,,1,,,
,32,op_dte_pts_vol_out_demidte,placer une droite sur deux points à la volée avec outil demi droite,Construire un segment à la volée,"Avec demi droite, construire un segment quelconque en plaçant les deux points extrémités du segment à la volée",I8 I4 I1 I4 I1,2,,,2,,,,1,,,
Droite,,,,,,,,,,,,,,,,,
,34,op_dte_pt_const_pt_vol_out_dte,placer une droite sur un point construit et un point à la volée avec outil droite,Construire un segment qui passe par un point donné,"Avec droite, construire un segment quelconque, en cliquant sur un point construit et un point à la volée",I8 I5 I1 I4 I1,2,,,1,1,,,1,,,
,35,op_dte_pts_const_out_dte,placer une droite sur deux points construits avec outil droite,Construire un segment qui passe par deux points donnés,"Avec droite, construire un segment quelconque, en cliquant sur deux points construits",I8 I5 I1 I5 I1,2,,,,2,,,1,,,
,36,op_dte_pts_vol_out_dte,placer une droite sur deux points à la volée avec outil droite,Construire un segment à la volée,"Avec droite, construire un segment quelconque en plaçant les deux points extrémités du segment à la volée",I8 I4 I1 I4 I1,2,,,2,,,,1,,,
,37,op_perp,Perpendiculaire,Construire une droite perpendiculaire,"Avec perpendiculaire, sélectionner une droite et un point à la volée qui donne la bonne forme","placement pointeur sur flèche pour ouvrir la pile, déplacement sur Perpendiculaire, clic pour sélectionner l'outil I8, viser le segment ou la  droite, se placer dessus I5, cliquer quand il est en surbrillanceI1, déplacer la souris vers un point qui n’est pas A -aligné avec A- I5 I10, cliquer sur le point.I1",2,,,,2,,,1,,1,
,38,op_perp_pt,Perpendiculaire par un point donné,Construire une droite perpendiculaire par un point donné qui résiste au déplacement,Avec perpendiculaire sélectionner la droite et le point définissant cet angle,"placement pointeur sur flèche pour ouvrir la pile, déplacement sur Perpendiculaire, clic pour sélectionner l'outil I8, viser le segment ou la  droiteI5, se placer dessus, cliquer quand il est en surbrillanceI1, déplacer la souris vers le point A I5, cliquer sur le point I1.",2,,,,2,,,1,,,
,39,op_perp_dte,Perpendiculaire (par droite),Construire une perpendiculaire avec une droite,"Avec droite,  sélectionner une droite et un point à la volée qui donne la bonne forme","Selctionne outil droite I8 place la droite vers un endroit  quelconque dans l'espace pose la droite I4 par un clic I1 deplacement un clic I1, selectionne droite I8 clic sur la première droite pour placer un point I1, ajustement visuel I10 pour former l'angle droit, déplace le pointeur I5 clic I1",4,,,1,1,,,2,,1,
,40,op_perp_demi_dte,Perpendiculaire (par demi droite),Construire une perpendiculaire avec une demi droite,"Avec demi-droite,  sélectionner une droite et un point à la volée qui donne la bonne perpendiculaire","Selctionne outil demi-droite I8 place la droite vers un endroit  quelconque dans l'espace pose la droite I4 par un clic I1 deplacement un clic I1, selectionne droite I8 clic sur la première droite pour placer un point I1, ajustement visuel I10 pour former l'angle droit, déplace le pointeur I5 clic I1",4,,,1,1,,,2,,1,
,41,op_perp_sgt_pt_dte,Perpendiculaire  point droite (par segment),Construire une perpendiculaire avec un segment du point à la droite,"Avec segment,  sélectionner  un point précis puis une droite donnée pour former une perpendiculaire à la volée",?,,,,,,,,,,,
,42,op_perp_sgt_dte_pt,Perpendiculaire droite point (par segment),Construire une perpendiculaire avec un segment de la droite au point ,"Avec segment,  sélectionner  une droite donnée puis un point pour former une perpendiculaire à la volée",?,,,,,,,,,,,
,43,op_perp_sgt_pt_lib,Perpendiculaire points à la volée (par segment),Construire une perpendiculaire avec un segment entre 2 points placés à la volée,"Avec segment,  sélectionner  deux points à la volée une perpendiculaire à la volée",?,,,,,,,,,,,
,44,op_perp_equer_dte_pt_libre,Perpendiculaire (par équerre) droite vers point libre,Construire une perpendiculaire avec une équerre,"Avec équerre, s'approcher de la droite, cliquer quand la droite est en surbrillance, cliquer sur la droite, déplacer la souris sur le point, cliquer",I8 I5 I4 I1,1,,,1,1,,,1,,,
,44b,op_perp_equer_dte_pt_fixe,Perpendiculaire (par équerre) droite vers point fixe,Construire une perpendiculaire avec une équerre,"Avec équerre, s'approcher de la droite, cliquer quand la droite est en surbrillance, cliquer sur la droite, déplacer la souris sur le point, cliquer",Selectionne outil I8 déplace vers la droite I5 clique sur la droite I1 déplace sur point précis I5 clic I1,2,,,,2,,,1,,,
,45,op_angle,Angle (par angle),Construire un angle,placer trois points librement espacés,I8 I1 I4 I1 I4  I1 ,3,,,2,,,,1,,,
,46,op_angle_rapporteur,Angle par rapporteur,Construire un angle d’une mesure donnée,"avec rapporteur, placer trois points d’une ouverture donnée",I8 I1 I5 I9 I1 I5 I9 I1 ,3,,,,2,,,,2,,
,47,op_angle_equerre,Angle par équerre vérification,Vérifie angle droit avec équerre comme un gabarit,"Avec équerre, vérifier l'angle droit par superposition",Outil (I8) déplacement précis I5,,,,,1,,,1,,,
Cercle,,,,,,,,,,,,,,,,,
,49,op_cercle_pt_const_pt_vol_out_cercle,Construire un cercle (cercle),Construire cercle passant par un point donné et un point libre avec outil cercle,"Avec cercle, placer le centre sur un point donné et déplacer librement le pointeur pour tracer le cercle",I8 I5 I1 I4 I1,2,,,1,1,,,1,,,
,50,op_cercle_pts_const_out_cercle,Construire un cercle (cercle),Construire cercle passant par deux points donnés avec outil cercle,"Avec cercle, placer le centre sur un point donné et déplacer vers un point fixe pour placer le point sur la circonférence librement",I8 I5 I1 I5 I1,2,,,,2,,,1,,,
,51,op_cercle_pts_vol_out_cercle,Construire un cercle (cercle),Construire cercle passant deux points placés à la volée avec outil cercle,"Avec cercle, placer le point du centre librement et déplacer pour placer la circonférence librement",I8 I4 I1 I4 I1,2,,,2,,,,1,,,
Compas,,,,,,,,,,,,,,,,,
,52,op_cercle_pt_const_pt_vol_out_compas,Construire cercle passant par un point donné et un point libre avec outil compas,Construire un cercle (compas),"Avec compas, placer le centre sur un point donné et déplacer vers un point fixe pour placer le point sur la circonférence librement",I8 I5 I1 I4 I1,2,,,1,1,,,1,,,
,53,op_cercle_pts_const_out_compas,Construire cercle passant par deux points donnés avec outil compas,Construire un cercle (compas),"Avec compas, placer le point du centre librement et déplacer pour placer la circonférence librement",I8 I5 I1 I5 I1,2,,,,2,,,1,,,
,54,op_cercle_pts_vol_out_compas,Construire cercle passant deux points placés à la volée avec outil compas,Construire un cercle (compas),"Avec compas, placer le centre du cercle, déplacer la souris pour placer un point de la circonférence, tourner le compas, cliquer",I8 I4 I1 I4 I1,2,,,2,,,,1,,,
Symétrie,55,op_sym_axe,Symétrie (par axe),Placer un point ou un objet par symétrie axiale,"Avec symétrie, cliquer sur un point, cliquer sur l'axe de symétrie. Le symétrique à l'axe donné apparaît",I8 I4 I1 I5 I1,2,,,1,1,,,1,,0,
Parallèle,56,op_paral_lib,Parallèle,tracer librement une parallèle à une droite ou à un segment,,I8 I5 I1 I4 I1,2,,,1,,,,,,,
,57,op_para_préc,Parallèle,tracer une parallèle à une droite ou à un segment qui passe par un point précis,,I8 I5 I1 I5 I1,2,,,,2,,,,,,
